date,north,middle,south,total,redzone
20110106,0.005528125000000001,0.08045,0.025415625,0.11139375000000001,0.036024999999999995
20110107,0.0033968750000000006,0.07939375,0.0203125,0.10310312500000002,0.03379375
20110108,0.0016468750000000001,0.078715625,0.015918750000000002,0.09628125000000001,0.025021875
20110109,0.000840625,0.084503125,0.014081250000000002,0.09942500000000001,0.018874999999999996
20110110,0.000978125,0.097,0.016565625,0.11454375,0.024571874999999993
20110111,0.001409375,0.10760937500000001,0.022596875000000002,0.131615625,0.03939999999999999
20110112,0.0015968750000000002,0.10822499999999999,0.029634375,0.13945625,0.04796874999999999
20110113,0.0017031249999999998,0.0992625,0.036640624999999996,0.13760624999999999,0.040368749999999995
20110114,0.0019749999999999998,0.08558750000000001,0.044534375,0.132096875,0.025190624999999987
20110115,0.00203125,0.071553125,0.052746875,0.12633125,0.017249999999999984
20110116,0.0014468749999999998,0.06035937499999999,0.05791875,0.119725,0.019087499999999983
20110117,0.0005968750000000002,0.05206875,0.057475,0.11014062499999999,0.021874999999999985
20110118,0.0001062500000000002,0.043778125,0.0515875,0.09547187500000001,0.018790624999999984
20110119,2.168404344971009e-19,0.03439375,0.04181875,0.07621250000000002,0.011724999999999985
20110120,2.168404344971009e-19,0.026684375000000003,0.030615624999999997,0.05730000000000002,0.006909374999999985
20110121,2.168404344971009e-19,0.022975000000000002,0.0203625,0.043337500000000015,0.007181249999999985
20110122,2.168404344971009e-19,0.021968750000000002,0.01206875,0.03403750000000001,0.010268749999999986
20110123,3.4375000000000205e-05,0.022225,0.006365625,0.02862500000000001,0.013259374999999986
20110124,0.00023750000000000014,0.02533125,0.00420625,0.02977500000000001,0.016099999999999986
20110125,0.000765625,0.03351875,0.005459375000000001,0.03974375000000001,0.020156249999999987
20110126,0.0014749999999999997,0.046928125,0.008690625,0.057093750000000006,0.02486874999999998
20110127,0.0019343749999999995,0.0624625,0.01285625,0.077253125,0.028012499999999982
20110128,0.0024937499999999994,0.07392499999999999,0.017384375,0.09380312499999999,0.027981249999999985
20110129,0.004803125,0.078234375,0.021284375,0.104321875,0.024837499999999985
20110130,0.009765625,0.079834375,0.02425,0.11384999999999999,0.021371874999999985
20110131,0.015915625,0.084121875,0.027384375,0.127421875,0.022571874999999984
20110201,0.021278125000000002,0.091240625,0.031390625,0.14390937499999998,0.030662499999999985
20110202,0.02520625,0.09660625,0.034759374999999995,0.156571875,0.03980937499999999
20110203,0.027271875,0.094359375,0.035140625,0.156771875,0.039759374999999986
20110204,0.02636875,0.08266875000000001,0.032462500000000005,0.14150000000000001,0.027981249999999985
20110205,0.0220875,0.06604375000000001,0.028656250000000005,0.1167875,0.014218749999999985
20110206,0.015578124999999998,0.051418750000000006,0.024968750000000005,0.091965625,0.008790624999999986
20110207,0.00879375,0.042253125,0.021771875000000003,0.07281875,0.010774999999999986
20110208,0.0036406249999999998,0.037724999999999995,0.020215625,0.061581250000000004,0.012506249999999986
20110209,0.001009375,0.036934375,0.0221375,0.06008125,0.011174999999999985
20110210,0.00024062500000000003,0.039453125,0.027703125000000002,0.06739687500000001,0.010187499999999986
20110211,0.000125,0.042196874999999995,0.035090625,0.07741250000000001,0.011524999999999987
20110212,6.25e-05,0.040521875,0.043565625,0.08415,0.012668749999999986
20110213,1.8750000000000002e-05,0.0333625,0.05326875,0.08665,0.011212499999999985
20110214,0.00020624999999999994,0.024821875,0.061315625,0.08634375000000001,0.008081249999999984
20110215,0.0010874999999999997,0.018784375,0.063275,0.08314687500000001,0.005237499999999986
20110216,0.002646875,0.014515625,0.058746875,0.07590937500000002,0.0032187499999999864
20110217,0.003803125,0.00995625,0.05093125,0.06469062500000002,0.0018187499999999864
20110218,0.0037781250000000002,0.0060750000000000005,0.042171875,0.05202500000000001,0.0011687499999999862
20110219,0.00315,0.006121875000000001,0.033109374999999996,0.04238125,0.002012499999999986
20110220,0.0028718750000000003,0.012481250000000001,0.024134375,0.0394875,0.006015624999999985
20110221,0.0034375000000000005,0.0239375,0.016246875,0.043621875000000004,0.013384374999999987
20110222,0.004646875,0.0351875,0.010559375000000001,0.05039375000000001,0.01955624999999999
20110223,0.00555625,0.0415375,0.007021875,0.05411562500000001,0.01973124999999999
20110224,0.00551875,0.04486875,0.00523125,0.05561875,0.015653124999999986
20110225,0.00535625,0.05134999999999999,0.005646874999999999,0.062353124999999995,0.012249999999999983
20110226,0.006746874999999999,0.06394999999999998,0.008168749999999999,0.078865625,0.012668749999999982
20110227,0.01035,0.08036562499999998,0.011356249999999998,0.10207187499999998,0.018931249999999983
20110228,0.015178125,0.09493749999999998,0.013965624999999999,0.12408125,0.03004999999999998
20110301,0.019637500000000002,0.10172499999999998,0.015609375,0.13697187500000002,0.03975624999999998
20110302,0.022246875,0.098659375,0.0162625,0.13716875,0.04025624999999998
20110303,0.021990625,0.087246875,0.016096874999999997,0.125334375,0.029406249999999984
20110304,0.018824999999999998,0.069271875,0.015496874999999997,0.10359375000000001,0.014481249999999987
20110305,0.013546875,0.04733749999999999,0.014912499999999999,0.07579687500000001,0.0051468749999999865
20110306,0.0076656250000000006,0.02743124999999999,0.014400000000000001,0.04949687500000002,0.0031437499999999855
20110307,0.00314375,0.016681249999999995,0.014356250000000001,0.03418125000000001,0.003756249999999984
20110308,0.000909375,0.016703124999999992,0.016890625,0.03450312500000001,0.004074999999999983
20110309,0.000225,0.022459374999999997,0.02358125,0.04626562500000001,0.005018749999999983
20110310,5.937499999999999e-05,0.028896874999999995,0.032303125,0.06125937500000001,0.008321874999999984
